Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Precious Achiuwa,PF,F,55,3,5,12.42,2.0,3.8,0.541,0.0,0.0,0.0,1.0,1.9,0.515,3.6,0.5,0.3,0.5,0.7,5.0,2020-2021
Jaylen Adams,PG,G,7,0,29,2.59,0.1,1.1,0.125,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.3,2020-2021
Steven Adams,C,C,55,55,4,27.93,3.4,5.5,0.62,0.0,0.1,0.0,1.1,2.4,0.45,9.0,1.9,0.9,0.7,1.4,7.8,2020-2021
Bam Adebayo,C,C,53,53,7,33.46,7.2,12.7,0.567,0.0,0.2,0.25,4.6,5.7,0.802,9.2,5.2,1.1,1.1,2.8,19.0,2020-2021
LaMarcus Aldridge,C,C,26,23,28,25.94,5.4,11.4,0.473,1.2,3.1,0.387,1.6,1.8,0.872,4.5,1.9,0.4,1.1,1.0,13.5,2020-2021
Ty-Shon Alexander,SG,G,9,0,50,3.19,0.2,1.1,0.2,0.1,0.8,0.143,0.1,0.2,0.5,0.6,0.1,0.0,0.1,0.1,0.7,2020-2021
Nickeil Alexander-Walker,SG,G,41,10,18,20.74,3.9,9.2,0.418,1.6,4.6,0.348,1.0,1.3,0.75,3.1,2.0,1.0,0.5,1.4,10.2,2020-2021
Grayson Allen,SG,G,45,33,13,25.62,3.6,8.5,0.428,2.3,5.7,0.405,1.6,1.9,0.857,3.2,2.2,1.0,0.2,1.0,11.2,2020-2021
Jarrett Allen,C,C,50,32,10,28.96,4.7,7.4,0.636,0.1,0.3,0.385,3.4,4.7,0.715,9.8,1.6,0.5,1.5,1.5,12.9,2020-2021
Al-Farouq Aminu,PF,F,20,14,40,19.53,1.8,4.6,0.391,0.4,1.6,0.212,0.8,1.0,0.842,5.0,1.5,0.8,0.4,1.4,4.8,2020-2021
Kyle Anderson,PF,F,56,56,2,27.42,4.4,9.6,0.459,1.3,3.9,0.343,2.0,2.6,0.779,6.0,3.6,1.2,0.8,1.2,12.2,2020-2021
Giannis Antetokounmpo,PF,F,49,49,9,33.75,10.3,18.3,0.564,1.1,3.6,0.299,6.8,10.0,0.683,11.2,6.0,1.2,1.3,3.7,28.5,2020-2021
Kostas Antetokounmpo,PF,F,14,0,45,3.8,0.2,0.7,0.3,0.0,0.0,0.0,0.4,0.9,0.462,1.4,0.1,0.1,0.3,0.7,0.9,2020-2021
Thanasis Antetokounmpo,SF,F,46,2,12,10.42,1.4,2.7,0.525,0.2,0.5,0.292,0.4,0.8,0.462,2.4,0.8,0.4,0.2,0.9,3.3,2020-2021
Carmelo Anthony,PF,F,58,3,1,25.04,4.8,11.6,0.413,1.8,4.7,0.389,2.1,2.4,0.878,3.2,1.6,0.7,0.6,1.0,13.6,2020-2021
Cole Anthony,PG,G,34,21,25,26.65,4.3,11.2,0.387,1.1,3.5,0.303,1.9,2.4,0.825,4.5,4.2,0.7,0.4,1.9,11.6,2020-2021
OG Anunoby,SF,F,38,38,21,33.05,5.4,11.4,0.476,2.3,5.9,0.395,1.8,2.4,0.778,5.6,2.0,1.6,0.7,1.8,15.1,2020-2021
Ryan Arcidiacono,PG,G,34,0,25,11.01,1.1,2.9,0.392,0.5,1.6,0.309,0.4,0.5,0.75,1.6,1.4,0.2,0.0,0.2,3.1,2020-2021
Trevor Ariza,SF,F,19,16,41,26.87,2.9,7.3,0.399,1.6,4.2,0.375,1.1,1.5,0.75,4.5,1.8,0.7,0.5,0.6,8.5,2020-2021
D.J. Augustin,PG,G,51,6,10,19.23,2.2,5.6,0.385,1.3,3.5,0.374,1.4,1.5,0.932,1.6,3.3,0.5,0.0,1.1,7.0,2020-2021
Deni Avdija,SF,F,54,32,5,23.28,2.4,5.8,0.417,1.0,3.1,0.315,0.5,0.8,0.644,4.9,1.2,0.6,0.3,0.6,6.3,2020-2021
Deandre Ayton,C,C,59,59,0,30.66,6.5,10.4,0.623,0.1,0.3,0.2,2.0,2.6,0.77,10.7,1.4,0.5,1.1,1.6,15.0,2020-2021
Udoka Azubuike,C,C,12,0,47,4.08,0.3,0.6,0.571,0.0,0.0,0.0,0.3,0.5,0.667,1.1,0.0,0.1,0.3,0.2,1.0,2020-2021
Dwayne Bacon,SG,G,59,39,0,25.11,3.8,9.6,0.399,0.9,3.0,0.309,1.8,2.2,0.843,3.0,1.2,0.5,0.1,0.6,10.4,2020-2021
Marvin Bagley III,PF,F,37,37,22,25.71,5.6,11.2,0.502,0.9,2.6,0.354,1.6,2.9,0.56,7.4,0.9,0.5,0.5,1.3,13.9,2020-2021
LaMelo Ball,PG,G,41,21,18,28.63,5.8,12.8,0.451,2.0,5.3,0.375,2.4,3.0,0.789,5.9,6.1,1.6,0.3,2.8,15.9,2020-2021
