Player,Date,Team,Opp,Venue,Starter,Position,General_Position,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,DNP,Week,Season
Precious Achiuwa,2020-12-23,MIA,ORL,Away,0,PF,F,13.65,3,4,0.75,0,0,0.0,2,4,0.5,3,0,0,0,0,8,0,1,2020-2021
Precious Achiuwa,2020-12-25,MIA,NOP,Home,0,PF,F,19.466666666666665,5,7,0.7142857142857143,0,0,0.0,1,2,0.5,3,2,0,1,1,11,0,1,2020-2021
Precious Achiuwa,2020-12-29,MIA,MIL,Home,0,PF,F,17.633333333333333,5,8,0.625,0,0,0.0,0,2,0.0,4,0,1,0,2,10,0,2,2020-2021
Precious Achiuwa,2020-12-30,MIA,MIL,Home,0,PF,F,12.016666666666667,0,2,0.0,0,0,0.0,0,0,0.0,5,0,0,1,3,0,0,2,2020-2021
Precious Achiuwa,2021-01-01,MIA,DAL,Away,0,PF,F,11.983333333333333,3,4,0.75,0,0,0.0,4,6,0.6666666666666666,6,1,0,0,1,10,0,2,2020-2021
Precious Achiuwa,2021-01-04,MIA,OKC,Home,0,PF,F,19.6,2,5,0.4,0,0,0.0,2,5,0.4,7,0,1,0,1,6,0,3,2020-2021
Precious Achiuwa,2021-01-06,MIA,BOS,Home,0,PF,F,14.233333333333333,2,5,0.4,0,0,0.0,2,2,1.0,5,3,0,1,1,6,0,3,2020-2021
Precious Achiuwa,2021-01-09,MIA,WAS,Away,0,PF,F,12.666666666666666,3,4,0.75,0,0,0.0,1,1,1.0,2,0,0,0,2,7,0,3,2020-2021
Precious Achiuwa,2021-01-12,MIA,PHI,Away,1,PF,F,35.666666666666664,7,10,0.7,0,0,0.0,3,4,0.75,13,3,0,1,3,17,0,4,2020-2021
Precious Achiuwa,2021-01-14,MIA,PHI,Away,1,PF,F,27.4,4,6,0.6666666666666666,0,0,0.0,2,6,0.3333333333333333,11,2,0,0,2,10,0,4,2020-2021
Precious Achiuwa,2021-01-16,MIA,DET,Home,0,PF,F,11.25,1,3,0.3333333333333333,0,0,0.0,3,4,0.75,4,0,0,0,0,5,0,4,2020-2021
Precious Achiuwa,2021-01-18,MIA,DET,Home,0,PF,F,12.766666666666667,4,5,0.8,0,0,0.0,0,2,0.0,5,0,0,0,0,8,0,5,2020-2021
Precious Achiuwa,2021-01-20,MIA,TOR,Away,0,PF,F,14.4,2,3,0.6666666666666666,0,0,0.0,0,2,0.0,4,0,1,1,0,4,0,5,2020-2021
Precious Achiuwa,2021-01-22,MIA,TOR,Away,0,PF,F,11.533333333333333,2,2,1.0,0,0,0.0,0,0,0.0,1,1,1,2,2,4,0,5,2020-2021
Precious Achiuwa,2021-01-23,MIA,BRK,Away,0,PF,F,10.133333333333333,1,1,1.0,0,0,0.0,5,6,0.8333333333333334,2,0,0,0,1,7,0,5,2020-2021
Precious Achiuwa,2021-01-25,MIA,BRK,Away,0,PF,F,12.683333333333334,2,4,0.5,0,0,0.0,0,0,0.0,4,1,1,1,2,4,0,6,2020-2021
Precious Achiuwa,2021-01-27,MIA,DEN,Home,0,PF,F,20.266666666666666,4,8,0.5,0,0,0.0,2,2,1.0,6,3,2,3,1,10,0,6,2020-2021
Precious Achiuwa,2021-01-28,MIA,LAC,Home,0,PF,F,13.35,4,4,1.0,0,0,0.0,2,5,0.4,5,0,0,0,0,10,0,6,2020-2021
Precious Achiuwa,2021-01-30,MIA,SAC,Home,0,PF,F,12.3,3,4,0.75,0,0,0.0,0,0,0.0,2,0,0,0,1,6,0,6,2020-2021
Precious Achiuwa,2021-02-01,MIA,CHO,Home,0,PF,F,13.7,1,3,0.3333333333333333,0,0,0.0,2,4,0.5,3,0,0,2,0,4,0,7,2020-2021
