Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Precious Achiuwa,PF,F,46,2,3,12.7,2.1,3.8,0.56,0.0,0.0,0.0,1.0,2.0,0.5,3.6,0.5,0.3,0.5,0.8,5.3,2020-2021
Jaylen Adams,PG,G,7,0,29,2.59,0.1,1.1,0.125,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.3,2020-2021
Steven Adams,C,C,44,44,3,28.32,3.4,5.5,0.627,0.0,0.1,0.0,1.0,2.2,0.455,8.9,2.0,0.9,0.7,1.5,7.9,2020-2021
Bam Adebayo,C,C,43,43,6,33.7,7.2,12.8,0.558,0.0,0.2,0.286,4.9,5.9,0.834,9.5,5.3,0.9,1.2,2.7,19.3,2020-2021
LaMarcus Aldridge,C,C,22,19,22,26.08,5.4,11.7,0.461,1.3,3.5,0.368,1.5,1.8,0.846,4.7,1.9,0.5,0.9,0.9,13.6,2020-2021
Ty-Shon Alexander,SG,G,4,0,43,2.43,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,2020-2021
Nickeil Alexander-Walker,SG,G,39,9,8,20.52,3.9,9.2,0.427,1.6,4.6,0.354,0.9,1.2,0.756,3.1,2.0,0.9,0.5,1.4,10.3,2020-2021
Grayson Allen,SG,G,32,20,13,24.22,3.2,7.6,0.418,2.0,5.0,0.406,1.4,1.6,0.902,3.2,2.1,1.0,0.2,0.9,9.8,2020-2021
Jarrett Allen,C,C,44,26,5,28.66,4.8,7.5,0.633,0.1,0.3,0.417,3.5,4.9,0.704,9.9,1.7,0.5,1.7,1.5,13.1,2020-2021
Al-Farouq Aminu,PF,F,18,14,29,21.06,2.0,5.0,0.4,0.4,1.8,0.219,0.9,1.1,0.842,5.3,1.6,0.9,0.5,1.5,5.3,2020-2021
Kyle Anderson,PF,F,43,43,2,27.2,4.6,9.7,0.48,1.3,3.7,0.356,1.9,2.6,0.755,5.7,3.3,1.1,0.7,1.4,12.5,2020-2021
Giannis Antetokounmpo,PF,F,44,44,3,34.0,10.2,18.4,0.557,1.2,3.8,0.307,6.7,9.9,0.682,11.3,6.2,1.1,1.3,3.8,28.3,2020-2021
Kostas Antetokounmpo,PF,F,7,0,41,4.06,0.3,0.7,0.4,0.0,0.0,0.0,0.3,0.6,0.5,1.4,0.0,0.3,0.4,0.9,0.9,2020-2021
Thanasis Antetokounmpo,SF,F,35,1,12,9.91,1.4,2.5,0.562,0.2,0.5,0.368,0.3,0.7,0.462,2.2,0.8,0.4,0.2,0.8,3.4,2020-2021
Carmelo Anthony,PF,F,46,3,1,25.88,5.0,11.8,0.418,1.7,4.6,0.381,2.3,2.6,0.867,3.3,1.7,0.8,0.7,1.1,13.9,2020-2021
